[2025-07-14 19:04:12.171] Messages: 0, Opportunities: 0, Trades: 0, Avg Latency: 0.00ms, Max Latency: 0.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:13.171] Messages: 0, Opportunities: 0, Trades: 0, Avg Latency: 0.00ms, Max Latency: 0.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:14.171] Messages: 1, Opportunities: 0, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:15.172] Messages: 2, Opportunities: 0, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:16.172] Messages: 3, Opportunities: 0, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:17.172] Messages: 4, Opportunities: 0, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:18.172] Messages: 5, Opportunities: 0, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:19.172] Messages: 6, Opportunities: 0, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:20.172] Messages: 7, Opportunities: 0, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:21.172] Messages: 8, Opportunities: 0, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:22.173] Messages: 9, Opportunities: 0, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:23.173] Messages: 10, Opportunities: 1, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:24.173] Messages: 11, Opportunities: 1, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:25.173] Messages: 12, Opportunities: 1, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:26.173] Messages: 13, Opportunities: 1, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:27.173] Messages: 14, Opportunities: 1, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:28.174] Messages: 15, Opportunities: 1, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:29.174] Messages: 16, Opportunities: 1, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:30.174] Messages: 17, Opportunities: 1, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:31.174] Messages: 18, Opportunities: 1, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:32.174] Messages: 19, Opportunities: 1, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:33.174] Messages: 20, Opportunities: 2, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:34.174] Messages: 21, Opportunities: 2, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:35.175] Messages: 22, Opportunities: 2, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:36.175] Messages: 23, Opportunities: 2, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:37.175] Messages: 24, Opportunities: 2, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:38.175] Messages: 25, Opportunities: 2, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:39.175] Messages: 26, Opportunities: 2, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:40.175] Messages: 27, Opportunities: 2, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:41.175] Messages: 28, Opportunities: 2, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:42.176] Messages: 29, Opportunities: 2, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:43.176] Messages: 30, Opportunities: 3, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:44.176] Messages: 31, Opportunities: 3, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:45.176] Messages: 32, Opportunities: 3, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:46.176] Messages: 33, Opportunities: 3, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:47.176] Messages: 34, Opportunities: 3, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:48.177] Messages: 35, Opportunities: 3, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:49.177] Messages: 36, Opportunities: 3, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:50.177] Messages: 37, Opportunities: 3, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:51.177] Messages: 38, Opportunities: 3, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:52.177] Messages: 39, Opportunities: 3, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:53.177] Messages: 40, Opportunities: 4, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:54.177] Messages: 41, Opportunities: 4, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:55.178] Messages: 42, Opportunities: 4, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:56.178] Messages: 43, Opportunities: 4, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:57.178] Messages: 44, Opportunities: 4, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:58.178] Messages: 45, Opportunities: 4, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:04:59.178] Messages: 46, Opportunities: 4, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:00.178] Messages: 47, Opportunities: 4, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:01.179] Messages: 48, Opportunities: 4, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:02.179] Messages: 49, Opportunities: 4, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
